product_id,product_name,category,supplier_id,unit_cost,unit_price,reorder_point,brand,safety_stock,lead_time_days,profit_margin_pct
ELE-P0008,Smart Watch Band,Electronics,SUP04,334.91,468.94,60,Voltex,29,12,28.58
ELE-P0009,USB Hub,Electronics,SUP04,81.52,141.31,41,Voltex,20,6,42.31
ELE-P0010,Webcam HD,Electronics,SUP07,106.45,170.39,63,Voltex,27,3,37.53
ELE-P0011,Wireless Keyboard,Electronics,SUP07,293.71,460.45,47,Voltex,17,14,36.21
ELE-P0012,Phone Stand,Electronics,SUP04,155.53,261.01,59,Voltex,30,21,40.41
ELE-P0013,Laptop Sleeve,Electronics,SUP07,80.68,110.6,58,Voltex,20,11,27.05
ELE-P0014,Portable Fan,Electronics,SUP04,368.0,632.9,88,Voltex,51,26,41.85
ELE-P0015,LED Strip Lights,Electronics,SUP04,389.21,687.83,53,Voltex,18,12,43.41
ELE-P0016,Extension Board,Electronics,SUP04,207.28,303.32,75,Voltex,24,27,31.66
ELE-P0017,Bluetooth Adapter,Electronics,SUP04,365.91,575.75,44,Voltex,19,9,36.45
ELE-P0018,Memory Card 64GB,Electronics,SUP07,157.08,258.79,50,Voltex,22,17,39.3
ELE-P0019,Screen Protector,Electronics,SUP07,349.81,613.96,48,Voltex,21,23,43.02
ELE-P0020,Car Charger,Electronics,SUP04,201.23,337.34,75,Voltex,32,4,40.35
FUR-P0001,Study Table,Furniture,SUP08,277.45,374.74,69,UrbanNest,41,28,25.96
FUR-P0002,Office Chair,Furniture,SUP02,64.56,103.06,60,TimberCraft,26,12,37.36
FUR-P0003,Bookshelf 5-Tier,Furniture,SUP08,100.58,136.99,56,OakHouse,24,16,26.58
FUR-P0004,Bedside Table,Furniture,SUP08,109.71,203.52,69,OakHouse,29,19,46.09
FUR-P0005,Folding Chair,Furniture,SUP02,171.4,283.59,69,OakHouse,22,20,39.56
FUR-P0006,TV Stand,Furniture,SUP08,385.5,612.71,41,OakHouse,19,3,37.08
FUR-P0007,Shoe Rack,Furniture,SUP08,78.96,125.7,79,OakHouse,29,26,37.18
FUR-P0008,Coat Rack,Furniture,SUP02,378.24,621.46,64,OakHouse,31,19,39.14
FUR-P0009,Wall Shelf Set,Furniture,SUP02,143.44,215.01,63,OakHouse,19,29,33.29
FUR-P0010,Bean Bag,Furniture,SUP02,203.62,267.35,66,OakHouse,39,15,23.84
FUR-P0011,Dining Chair,Furniture,SUP08,363.66,503.36,81,OakHouse,35,19,27.75
FUR-P0012,Storage Cabinet,Furniture,SUP08,88.0,149.89,67,OakHouse,38,14,41.29
FUR-P0013,Ottoman Stool,Furniture,SUP08,280.8,487.52,54,OakHouse,23,27,42.4
FUR-P0014,Laptop Table,Furniture,SUP02,87.71,162.23,78,OakHouse,24,25,45.93
FUR-P0015,Wardrobe 2-Door,Furniture,SUP02,63.09,103.02,51,OakHouse,27,27,38.76
FUR-P0016,Bar Stool,Furniture,SUP02,340.43,607.65,58,OakHouse,28,16,43.98
FUR-P0017,Kids Study Desk,Furniture,SUP02,383.51,565.5,55,OakHouse,29,24,32.18
FUR-P0018,Recliner Chair,Furniture,SUP02,139.59,259.86,65,OakHouse,27,12,46.28
FUR-P0019,Console Table,Furniture,SUP08,65.72,102.59,48,OakHouse,23,15,35.94
FUR-P0020,Cushion Stool,Furniture,SUP02,362.09,633.36,89,OakHouse,49,23,42.83
GRO-P0001,Basmati Rice 5kg,Groceries,SUP05,362.71,584.44,84,FreshHarvest,41,5,37.94
GRO-P0002,Sunflower Oil 1L,Groceries,SUP03,320.2,543.38,55,FreshHarvest,22,22,41.07
GRO-P0003,Wheat Flour 5kg,Groceries,SUP03,83.06,145.2,58,PureFarm,28,3,42.8
GRO-P0004,Green Tea Pack,Groceries,SUP03,377.88,545.88,53,FreshHarvest,26,18,30.78
GRO-P0005,Organic Honey 500g,Groceries,SUP01,340.89,474.51,46,FreshHarvest,27,15,28.16
GRO-P0006,Masala Mix 200g,Groceries,SUP05,259.78,474.03,48,FreshHarvest,19,15,45.2
GRO-P0007,Almonds 500g,Groceries,SUP01,158.61,280.18,49,FreshHarvest,20,16,43.39
GRO-P0008,Brown Bread,Groceries,SUP01,225.26,312.29,88,FreshHarvest,47,16,27.87
GRO-P0009,Coffee Powder 250g,Groceries,SUP05,130.38,179.81,40,FreshHarvest,18,13,27.49
GRO-P0010,Peanut Butter 400g,Groceries,SUP01,92.64,148.58,73,FreshHarvest,38,15,37.65
GRO-P0011,Cornflakes 500g,Groceries,SUP05,253.39,359.78,74,FreshHarvest,32,18,29.57
GRO-P0012,Salt 1kg,Groceries,SUP05,300.39,523.7,80,NatureFresh,29,23,42.64
GRO-P0013,Sugar 1kg,Groceries,SUP05,93.31,173.23,46,GrainGold,24,17,46.14
GRO-P0014,Pasta 500g,Groceries,SUP01,155.33,247.46,59,FreshHarvest,20,20,37.23
GRO-P0015,Ketchup 500ml,Groceries,SUP03,384.47,565.89,73,FreshHarvest,26,25,32.06
GRO-P0016,Biscuits Pack,Groceries,SUP05,58.7,95.86,86,FreshHarvest,41,29,38.76
GRO-P0017,Jaggery 500g,Groceries,SUP01,87.06,120.51,71,FreshHarvest,37,5,27.76
GRO-P0018,Pickle 300g,Groceries,SUP05,388.18,643.46,60,FreshHarvest,34,22,39.67
GRO-P0019,Milk Powder 500g,Groceries,SUP01,331.53,523.96,86,FreshHarvest,32,9,36.73
GRO-P0020,Instant Noodles Pack,Groceries,SUP03,56.24,76.79,79,DailyBasket,26,8,26.76
TOY-P0001,Building Blocks Set,Toys,SUP02,328.89,473.46,81,FunZone,47,24,30.53
TOY-P0002,Remote Control Car,Toys,SUP02,262.11,477.21,66,FunZone,22,4,45.07
TOY-P0003,Puzzle 500pc,Toys,SUP06,194.4,296.36,70,FunZone,25,25,34.4
TOY-P0004,Action Figure,Toys,SUP06,278.18,506.43,61,ToyVerse,23,23,45.07
TOY-P0005,Soft Plush Toy,Toys,SUP02,136.74,197.18,62,FunZone,28,29,30.65
TOY-P0006,Board Game,Toys,SUP06,335.8,457.75,77,FunZone,43,21,26.64
TOY-P0007,Toy Train Set,Toys,SUP06,258.05,358.1,43,FunZone,22,26,27.94
TOY-P0008,Water Gun,Toys,SUP02,158.62,219.9,81,FunZone,41,6,27.87
TOY-P0009,Building Blocks Mini,Toys,SUP06,107.94,158.76,86,FunZone,30,27,32.01
TOY-P0010,Dollhouse,Toys,SUP06,90.42,118.69,47,FunZone,19,7,23.82
TOY-P0011,Toy Kitchen Set,Toys,SUP06,111.12,148.02,42,FunZone,18,11,24.93
TOY-P0012,Bicycle Kids,Toys,SUP02,288.25,442.8,69,FunZone,23,6,34.9
TOY-P0013,Skateboard Kids,Toys,SUP06,226.58,413.51,55,FunZone,21,13,45.21
TOY-P0014,Rubik Cube,Toys,SUP06,65.22,91.89,82,FunZone,32,23,29.02
TOY-P0015,Kite Set,Toys,SUP06,137.29,225.53,51,FunZone,17,10,39.13
TOY-P0016,Toy Drone,Toys,SUP06,67.24,102.49,60,FunZone,27,25,34.39
TOY-P0017,Art Kit,Toys,SUP06,85.59,154.07,66,PlayNest,33,19,44.45
TOY-P0018,Slime Kit,Toys,SUP02,373.69,508.02,42,KidCraft,13,19,26.44
TOY-P0019,Toy Robot,Toys,SUP06,365.93,690.78,82,ToyVerse,36,28,47.03
TOY-P0020,Card Game Set,Toys,SUP02,322.82,544.11,80,Wonderkid,42,14,40.67
CLO-P0021,Cargo Pants Plus,Clothing,SUP17,675.2,1038.07,83,UrbanThread,44,25,34.96
CLO-P0022,Silk Saree Plus,Clothing,SUP17,366.25,644.42,57,CottonCraft,19,25,43.17
CLO-P0023,Kurta Set Plus,Clothing,SUP04,155.52,283.38,84,StyleNest,42,20,45.12
CLO-P0024,Rain Jacket Plus,Clothing,SUP06,494.19,835.8,84,Denimo,28,9,40.87
CLO-P0025,Woolen Sweater Plus,Clothing,SUP03,651.3,1063.35,89,WeaveWorks,47,18,38.75
CLO-P0026,Sports Shorts Plus,Clothing,SUP12,565.18,952.62,74,UrbanThread,28,19,40.67
CLO-P0027,Leather Belt Plus,Clothing,SUP01,477.54,706.16,49,CottonCraft,27,14,32.38
CLO-P0028,Winter Jacket Plus,Clothing,SUP01,193.73,294.24,46,StyleNest,17,14,34.16
CLO-P0029,Track Suit Plus,Clothing,SUP14,567.77,1033.53,99,Denimo,41,20,45.06
CLO-P0030,Ethnic Kurti Classic,Clothing,SUP09,275.23,375.31,86,WeaveWorks,28,23,26.67
CLO-P0031,Cotton T-Shirt Classic,Clothing,SUP15,496.41,718.19,93,UrbanThread,32,16,30.88
CLO-P0032,Denim Jeans Classic,Clothing,SUP10,484.62,765.03,78,CottonCraft,30,21,36.65
CLO-P0033,Formal Shirt Classic,Clothing,SUP13,421.36,591.0,53,StyleNest,31,6,28.7
CLO-P0034,Summer Dress Classic,Clothing,SUP08,674.78,1018.6,93,Denimo,54,10,33.75
CLO-P0035,Hoodie Classic,Clothing,SUP16,687.67,1113.76,81,WeaveWorks,26,10,38.26
CLO-P0036,Cargo Pants Classic,Clothing,SUP09,491.83,723.69,93,UrbanThread,36,24,32.04
CLO-P0037,Silk Saree Classic,Clothing,SUP12,282.58,526.72,31,CottonCraft,15,23,46.35
CLO-P0038,Kurta Set Classic,Clothing,SUP14,620.48,1055.1,60,StyleNest,29,19,41.19
CLO-P0039,Rain Jacket Classic,Clothing,SUP02,461.86,635.04,42,Denimo,16,16,27.27
CLO-P0040,Woolen Sweater Classic,Clothing,SUP14,227.55,387.42,40,WeaveWorks,14,11,41.27
ELE-P0021,Air Conditioner Plus,Electronics,SUP19,14694.1,22895.2,72,Voltex,22,18,35.82
ELE-P0022,Room Cooler Plus,Electronics,SUP04,12264.66,22317.28,97,Nexcore,31,10,45.04
ELE-P0023,Microwave Oven Plus,Electronics,SUP10,12471.39,23853.98,41,Zaptron,18,18,47.72
ELE-P0024,Smart Watch Plus,Electronics,SUP17,8556.6,14224.52,48,Ionix,20,10,39.85
ELE-P0025,Power Bank Plus,Electronics,SUP01,20726.78,39125.87,67,Circuitry,31,6,47.03
ELE-P0026,Digital Camera Plus,Electronics,SUP07,16937.11,25723.07,37,Voltex,18,22,34.16
ELE-P0027,Home Theatre Plus,Electronics,SUP15,19308.73,27314.99,73,Nexcore,26,27,29.31
ELE-P0028,Electric Kettle Plus,Electronics,SUP05,14049.37,22093.38,32,Zaptron,17,15,36.41
ELE-P0029,Ceiling Fan Plus,Electronics,SUP17,8201.62,15761.38,74,Ionix,33,10,47.96
ELE-P0030,Water Purifier Classic,Electronics,SUP19,23426.67,33939.73,47,Circuitry,14,11,30.98
ELE-P0031,Bluetooth Speaker Classic,Electronics,SUP09,24812.44,46771.61,36,Voltex,20,23,46.95
ELE-P0032,Wireless Earbuds Classic,Electronics,SUP05,13163.92,20266.61,92,Nexcore,48,12,35.05
ELE-P0033,Smartphone Classic,Electronics,SUP14,9591.98,13492.85,81,Zaptron,30,23,28.91
ELE-P0034,LED TV Classic,Electronics,SUP01,6327.88,9008.72,95,Ionix,52,27,29.76
ELE-P0035,Laptop Classic,Electronics,SUP04,4810.0,8223.32,80,Circuitry,28,26,41.51
ELE-P0036,Air Conditioner Classic,Electronics,SUP06,19524.16,37742.07,51,Voltex,22,14,48.27
ELE-P0037,Room Cooler Classic,Electronics,SUP03,742.83,1105.18,49,Nexcore,24,6,32.79
ELE-P0038,Microwave Oven Classic,Electronics,SUP20,12855.72,22710.37,38,Zaptron,18,14,43.39
ELE-P0039,Smart Watch Classic,Electronics,SUP04,20181.46,35907.75,35,Ionix,11,22,43.8
ELE-P0040,Power Bank Classic,Electronics,SUP09,23218.04,36882.95,38,Circuitry,14,6,37.05
FUR-P0021,Wooden Chair Classic,Furniture,SUP10,12234.98,23532.44,66,OakHouse,38,10,48.01
FUR-P0022,Study Table Classic,Furniture,SUP10,10393.89,17985.43,31,UrbanNest,10,22,42.21
FUR-P0023,Sofa Set Classic,Furniture,SUP03,8066.85,15566.92,41,TimberCraft,23,19,48.18
FUR-P0024,Bookshelf Classic,Furniture,SUP15,8892.23,16191.49,86,HomeForm,26,20,45.08
FUR-P0025,Dining Table Classic,Furniture,SUP03,15083.23,27573.51,62,WoodWorks,28,9,45.3
FUR-P0026,Bed Frame Classic,Furniture,SUP16,15738.34,26941.9,72,OakHouse,30,6,41.58
FUR-P0027,Wardrobe Classic,Furniture,SUP08,8182.58,14247.17,97,UrbanNest,42,26,42.57
FUR-P0028,Office Chair Classic,Furniture,SUP11,4946.93,8892.64,47,TimberCraft,25,28,44.37
FUR-P0029,Coffee Table Classic,Furniture,SUP03,2038.16,3478.45,55,HomeForm,30,6,41.41
FUR-P0030,TV Unit Mini,Furniture,SUP07,3360.21,6393.08,51,WoodWorks,17,7,47.44
FUR-P0031,Wooden Chair Mini,Furniture,SUP06,3526.79,5005.55,67,OakHouse,21,3,29.54
FUR-P0032,Study Table Mini,Furniture,SUP04,1812.83,3090.31,42,UrbanNest,21,24,41.34
FUR-P0033,Sofa Set Mini,Furniture,SUP08,6337.65,10474.33,81,TimberCraft,44,26,39.49
FUR-P0034,Bookshelf Mini,Furniture,SUP11,4003.62,5973.59,33,HomeForm,12,20,32.98
FUR-P0035,Dining Table Mini,Furniture,SUP12,8018.09,11061.38,30,WoodWorks,13,13,27.51
FUR-P0036,Bed Frame Mini,Furniture,SUP18,15152.14,20927.79,37,OakHouse,21,21,27.6
FUR-P0037,Wardrobe Mini,Furniture,SUP02,15325.13,28988.89,46,UrbanNest,24,29,47.13
FUR-P0038,Office Chair Mini,Furniture,SUP12,11886.46,21602.43,84,TimberCraft,28,25,44.98
FUR-P0039,Coffee Table Mini,Furniture,SUP11,9693.21,18073.41,88,HomeForm,36,15,46.37
FUR-P0040,TV Unit Deluxe,Furniture,SUP14,5456.52,7823.89,74,WoodWorks,32,7,30.26
GRO-P0021,Cold Drink 2L Plus,Groceries,SUP09,96.75,151.95,65,FreshHarvest,25,12,36.33
GRO-P0022,Instant Noodles Pack Plus,Groceries,SUP09,246.3,376.38,56,DailyBasket,32,21,34.56
GRO-P0023,Biscuit Pack Plus,Groceries,SUP19,178.7,276.45,62,PureFarm,34,17,35.36
GRO-P0024,Pulses 1kg Plus,Groceries,SUP10,285.45,476.6,75,GrainGold,36,4,40.11
GRO-P0025,Salt 1kg Plus,Groceries,SUP06,262.51,386.27,71,NatureFresh,39,21,32.04
GRO-P0026,Ice Cream Tub Plus,Groceries,SUP19,222.75,313.42,39,FreshHarvest,20,18,28.93
GRO-P0027,Bottled Water 1L Plus,Groceries,SUP02,328.86,471.07,97,DailyBasket,52,28,30.19
GRO-P0028,Coffee Powder 200g Plus,Groceries,SUP09,278.27,508.42,71,PureFarm,41,5,45.27
GRO-P0029,Fruit Juice 1L Plus,Groceries,SUP06,214.73,302.13,66,GrainGold,23,19,28.93
GRO-P0030,Snack Combo Pack Classic,Groceries,SUP03,208.9,340.42,69,NatureFresh,31,22,38.63
GRO-P0031,Basmati Rice 5kg Classic,Groceries,SUP16,283.75,466.85,46,FreshHarvest,26,19,39.22
GRO-P0032,Cooking Oil 1L Classic,Groceries,SUP17,58.64,82.25,38,DailyBasket,18,22,28.71
GRO-P0033,Wheat Flour 5kg Classic,Groceries,SUP09,275.53,482.93,81,PureFarm,46,12,42.95
GRO-P0034,Sugar 1kg Classic,Groceries,SUP17,109.28,171.41,83,GrainGold,32,11,36.25
GRO-P0035,Tea Leaves 250g Classic,Groceries,SUP04,68.77,131.47,68,NatureFresh,28,14,47.69
GRO-P0036,Cold Drink 2L Classic,Groceries,SUP03,202.49,387.1,81,FreshHarvest,43,19,47.69
GRO-P0037,Instant Noodles Pack Classic,Groceries,SUP10,144.2,280.03,30,DailyBasket,17,22,48.51
GRO-P0038,Biscuit Pack Classic,Groceries,SUP09,300.68,520.85,38,PureFarm,12,15,42.27
GRO-P0039,Pulses 1kg Classic,Groceries,SUP12,246.41,334.47,36,GrainGold,19,15,26.33
GRO-P0040,Salt 1kg Classic,Groceries,SUP09,171.32,276.75,50,NatureFresh,19,16,38.1
TOY-P0021,Toy Drone Classic,Toys,SUP19,720.66,1020.71,57,FunZone,32,29,29.4
TOY-P0022,Art Kit Classic,Toys,SUP14,766.26,1083.38,49,PlayNest,29,3,29.27
TOY-P0023,Slime Kit Classic,Toys,SUP14,613.1,860.95,77,KidCraft,23,27,28.79
TOY-P0024,Toy Robot Classic,Toys,SUP05,197.28,358.27,46,ToyVerse,16,3,44.94
TOY-P0025,Card Game Set Classic,Toys,SUP19,618.14,847.9,30,Wonderkid,9,3,27.1
TOY-P0026,Building Blocks Classic,Toys,SUP17,737.22,1100.77,72,FunZone,39,9,33.03
TOY-P0027,Remote Car Classic,Toys,SUP02,736.79,1404.82,38,PlayNest,19,23,47.55
TOY-P0028,Puzzle Set Classic,Toys,SUP17,112.92,166.11,88,KidCraft,29,21,32.02
TOY-P0029,Action Figure Classic,Toys,SUP11,691.05,1194.14,36,ToyVerse,12,25,42.13
TOY-P0030,Doll House Mini,Toys,SUP17,238.29,360.4,81,Wonderkid,41,17,33.88
TOY-P0031,Toy Drone Mini,Toys,SUP20,581.47,804.0,34,FunZone,10,19,27.68
TOY-P0032,Art Kit Mini,Toys,SUP05,661.85,962.25,91,PlayNest,29,23,31.22
TOY-P0033,Slime Kit Mini,Toys,SUP04,883.62,1436.0,68,KidCraft,33,24,38.47
TOY-P0034,Toy Robot Mini,Toys,SUP18,199.01,381.62,70,ToyVerse,27,14,47.85
TOY-P0035,Card Game Set Mini,Toys,SUP12,653.82,1137.35,60,Wonderkid,20,28,42.51
TOY-P0036,Building Blocks Mini,Toys,SUP10,411.31,672.29,65,FunZone,21,29,38.82
TOY-P0037,Remote Car Mini,Toys,SUP03,308.02,472.14,73,PlayNest,35,14,34.76
TOY-P0038,Puzzle Set Mini,Toys,SUP09,417.68,666.31,74,KidCraft,27,28,37.31
TOY-P0039,Action Figure Mini,Toys,SUP12,339.97,466.32,50,ToyVerse,22,14,27.1
TOY-P0040,Doll House Deluxe,Toys,SUP03,549.42,928.22,45,Wonderkid,22,17,40.81
HOM-P0001,Wall Clock,Home Decor,SUP13,1665.84,2564.94,47,DecoLuxe,21,24,35.05
HOM-P0002,Table Lamp,Home Decor,SUP04,1602.43,2510.04,60,HomeAura,27,24,36.16
HOM-P0003,Photo Frame Set,Home Decor,SUP15,2227.37,4237.87,89,CraftWalls,40,16,47.44
HOM-P0004,Wall Art Canvas,Home Decor,SUP06,854.68,1583.23,85,LumiHome,38,4,46.02
HOM-P0005,Decorative Vase,Home Decor,SUP03,272.94,506.36,87,ArtNest,33,4,46.1
HOM-P0006,Curtain Set,Home Decor,SUP12,515.19,792.54,53,DecoLuxe,27,27,35.0
HOM-P0007,Scented Candle Pack,Home Decor,SUP01,2085.22,3886.7,59,HomeAura,20,13,46.35
HOM-P0008,Rug,Home Decor,SUP05,387.21,607.51,72,CraftWalls,42,5,36.26
HOM-P0009,Mirror Frame,Home Decor,SUP20,1953.05,3001.01,83,LumiHome,42,21,34.92
HOM-P0010,Fairy Lights,Home Decor,SUP16,1638.13,2222.02,57,ArtNest,20,23,26.28
HOM-P0011,Wall Clock Plus,Home Decor,SUP11,493.0,714.63,59,DecoLuxe,35,25,31.01
HOM-P0012,Table Lamp Plus,Home Decor,SUP20,2113.77,4109.58,68,HomeAura,23,16,48.56
HOM-P0013,Photo Frame Set Plus,Home Decor,SUP09,1042.17,1456.98,88,CraftWalls,37,23,28.47
HOM-P0014,Wall Art Canvas Plus,Home Decor,SUP10,461.62,673.3,62,LumiHome,35,28,31.44
HOM-P0015,Decorative Vase Plus,Home Decor,SUP01,658.85,1004.9,43,ArtNest,20,16,34.44
HOM-P0016,Curtain Set Plus,Home Decor,SUP15,301.88,451.67,64,DecoLuxe,35,26,33.16
HOM-P0017,Scented Candle Pack Plus,Home Decor,SUP13,1657.96,2904.95,85,HomeAura,26,23,42.93
HOM-P0018,Rug Plus,Home Decor,SUP15,1394.87,2166.34,55,CraftWalls,30,11,35.61
HOM-P0019,Mirror Frame Plus,Home Decor,SUP10,1944.71,3619.51,55,LumiHome,31,16,46.27
HOM-P0020,Fairy Lights Classic,Home Decor,SUP07,2140.66,3327.34,71,ArtNest,31,25,35.66
HOM-P0021,Wall Clock Classic,Home Decor,SUP11,351.95,559.29,99,DecoLuxe,48,27,37.07
HOM-P0022,Table Lamp Classic,Home Decor,SUP08,913.25,1337.88,42,HomeAura,12,19,31.74
HOM-P0023,Photo Frame Set Classic,Home Decor,SUP19,1175.7,1804.14,39,CraftWalls,11,19,34.83
HOM-P0024,Wall Art Canvas Classic,Home Decor,SUP09,1787.28,3092.46,49,LumiHome,29,24,42.21
HOM-P0025,Decorative Vase Classic,Home Decor,SUP13,1246.01,2251.37,75,ArtNest,38,27,44.66
HOM-P0026,Curtain Set Classic,Home Decor,SUP06,1976.81,3696.79,97,DecoLuxe,32,16,46.53
HOM-P0027,Scented Candle Pack Classic,Home Decor,SUP15,1156.21,1944.59,97,HomeAura,57,20,40.54
HOM-P0028,Rug Classic,Home Decor,SUP03,791.75,1417.43,98,CraftWalls,51,20,44.14
HOM-P0029,Mirror Frame Classic,Home Decor,SUP07,397.29,546.1,65,LumiHome,29,23,27.25
HOM-P0030,Fairy Lights Mini,Home Decor,SUP18,1215.94,2354.97,98,ArtNest,41,4,48.37
HOM-P0031,Wall Clock Mini,Home Decor,SUP16,303.57,510.99,67,DecoLuxe,38,24,40.59
HOM-P0032,Table Lamp Mini,Home Decor,SUP09,188.73,296.99,87,HomeAura,27,12,36.45
HOM-P0033,Photo Frame Set Mini,Home Decor,SUP03,1720.73,3059.38,75,CraftWalls,41,23,43.76
HOM-P0034,Wall Art Canvas Mini,Home Decor,SUP15,2022.09,2789.23,81,LumiHome,29,5,27.5
HOM-P0035,Decorative Vase Mini,Home Decor,SUP13,2159.5,2921.16,96,ArtNest,48,16,26.07
KIT-P0001,Non-Stick Pan,Kitchen,SUP11,1494.54,2820.77,32,ChefPro,16,9,47.02
KIT-P0002,Pressure Cooker,Kitchen,SUP05,3006.82,4687.09,84,KitchCraft,32,26,35.85
KIT-P0003,Knife Set,Kitchen,SUP15,1479.75,2241.67,71,CookWell,40,26,33.99
KIT-P0004,Mixer Grinder,Kitchen,SUP04,434.12,675.12,61,HomeChef,33,22,35.7
KIT-P0005,Dinner Set,Kitchen,SUP11,1142.81,1822.51,99,SteelWare,33,6,37.29
KIT-P0006,Storage Container Set,Kitchen,SUP12,3491.89,6182.49,81,ChefPro,33,19,43.52
KIT-P0007,Steel Cookware Set,Kitchen,SUP10,1814.67,2596.1,94,KitchCraft,38,5,30.1
KIT-P0008,Blender,Kitchen,SUP02,826.63,1124.71,51,CookWell,25,15,26.5
KIT-P0009,Chopping Board,Kitchen,SUP18,1558.28,3000.51,54,HomeChef,28,16,48.07
KIT-P0010,Tiffin Box,Kitchen,SUP11,1103.21,2083.08,57,SteelWare,22,9,47.04
KIT-P0011,Non-Stick Pan Plus,Kitchen,SUP18,1923.97,3454.28,93,ChefPro,44,19,44.3
KIT-P0012,Pressure Cooker Plus,Kitchen,SUP14,1152.93,1723.43,50,KitchCraft,17,11,33.1
KIT-P0013,Knife Set Plus,Kitchen,SUP07,1098.88,1853.69,91,CookWell,48,18,40.72
KIT-P0014,Mixer Grinder Plus,Kitchen,SUP16,1618.59,2647.62,96,HomeChef,48,29,38.87
KIT-P0015,Dinner Set Plus,Kitchen,SUP06,3173.56,5783.98,87,SteelWare,30,7,45.13
KIT-P0016,Storage Container Set Plus,Kitchen,SUP12,491.35,855.81,52,ChefPro,23,28,42.59
KIT-P0017,Steel Cookware Set Plus,Kitchen,SUP19,270.07,520.12,60,KitchCraft,19,10,48.08
KIT-P0018,Blender Plus,Kitchen,SUP01,974.32,1353.64,98,CookWell,44,15,28.02
KIT-P0019,Chopping Board Plus,Kitchen,SUP16,320.72,454.45,51,HomeChef,21,23,29.43
KIT-P0020,Tiffin Box Classic,Kitchen,SUP02,2488.94,3669.23,98,SteelWare,40,11,32.17
KIT-P0021,Non-Stick Pan Classic,Kitchen,SUP05,155.56,220.47,59,ChefPro,32,7,29.44
KIT-P0022,Pressure Cooker Classic,Kitchen,SUP01,1852.36,3044.73,32,KitchCraft,13,11,39.16
KIT-P0023,Knife Set Classic,Kitchen,SUP12,2968.03,4470.47,84,CookWell,33,19,33.61
KIT-P0024,Mixer Grinder Classic,Kitchen,SUP05,1757.54,3093.19,53,HomeChef,21,9,43.18
KIT-P0025,Dinner Set Classic,Kitchen,SUP05,312.71,508.61,95,SteelWare,48,8,38.52
KIT-P0026,Storage Container Set Classic,Kitchen,SUP04,308.7,442.34,31,ChefPro,9,27,30.21
KIT-P0027,Steel Cookware Set Classic,Kitchen,SUP19,254.8,360.89,43,KitchCraft,20,15,29.4
KIT-P0028,Blender Classic,Kitchen,SUP05,2056.86,3505.13,78,CookWell,23,25,41.32
