store_name,product_name,category,inventory_level,reorder_point,gap_to_reorder_point,urgency,recommendation
Mumbai Andheri Store,Fitness Band,Sports,21.0,77,56.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,LED Strip Lights,Electronics,0.0,53,53.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Geometry Box Mini,Stationery,0.0,52,52.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Storage Container Set Plus,Kitchen,0.0,52,52.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Perfume Plus,Beauty,1.0,53,52.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Slime Kit Mini,Toys,17.0,68,51.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Brown Bread,Groceries,38.0,88,50.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Coffee Table Classic,Furniture,5.0,55,50.0,🟡 Medium — Reorder Now,Reorder immediately
Coimbatore City Centre Store,Toy Drone Classic,Toys,7.0,57,50.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Pressure Cooker Plus,Kitchen,0.0,50,50.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Hair Oil,Beauty,39.0,88,49.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Smart Watch Plus,Electronics,0.0,48,48.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Toy Robot Mini,Toys,22.0,70,48.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Mixer Grinder Classic,Kitchen,5.0,53,48.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Wireless Keyboard,Electronics,0.0,47,47.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Fitness Band Classic,Sports,0.0,47,47.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Office Chair Classic,Furniture,0.0,47,47.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,HDMI Cable,Electronics,21.0,67,46.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Wardrobe Mini,Furniture,0.0,46,46.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Basmati Rice 5kg Classic,Groceries,0.0,46,46.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Room Cooler Classic,Electronics,5.0,49,44.0,🟡 Medium — Reorder Now,Reorder immediately
Bengaluru Koramangala Store,Sketch Pen Set Classic,Stationery,0.0,44,44.0,🟡 Medium — Reorder Now,Reorder immediately
Surat Ring Road Store,Bluetooth Adapter,Electronics,0.0,44,44.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nagpur Station Road Store,Sketch Pen Set Classic,Stationery,0.0,44,44.0,🟡 Medium — Reorder Now,Reorder immediately
Vadodara MG Road Store,Decorative Vase Plus,Home Decor,0.0,43,43.0,🟡 Medium — Reorder Now,Reorder immediately
Ludhiana Central Plaza,Steel Cookware Set Classic,Kitchen,0.0,43,43.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Fitness Band Classic,Sports,4.0,47,43.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Hair Oil Plus,Beauty,0.0,42,42.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,Cotton T-Shirt Classic,Clothing,51.0,93,42.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Board Game,Toys,35.0,77,42.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Formal Trousers,Clothing,32.0,73,41.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Chew Toy Classic,Pet Supplies,9.0,50,41.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,TV Stand,Furniture,0.0,41,41.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Football,Sports,0.0,41,41.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Cat Litter Pack,Pet Supplies,40.0,81,41.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Vadodara MG Road Store,Microwave Oven Plus,Electronics,0.0,41,41.0,🟡 Medium — Reorder Now,Reorder immediately
Visakhapatnam Downtown Store,Puzzle Set Mini,Toys,33.0,74,41.0,🟡 Medium — Reorder Now,Reorder immediately
Raipur High Street Store,Extension Board,Electronics,35.0,75,40.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Notebook Pack,Stationery,0.0,40,40.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Notebook Pack Mini,Stationery,0.0,40,40.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Sketch Pen Set Classic,Stationery,4.0,44,40.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Fairy Lights Mini,Home Decor,58.0,98,40.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Photo Frame Set Classic,Home Decor,0.0,39,39.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Pet Bed Plus,Pet Supplies,24.0,63,39.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Mirror Frame Classic,Home Decor,26.0,65,39.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Ice Cream Tub Plus,Groceries,0.0,39,39.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,Sports Shorts Plus,Clothing,36.0,74,38.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Jaipur High Street Store,Wall Shelf Set,Furniture,25.0,63,38.0,🟡 Medium — Reorder Now,Reorder immediately
Coimbatore City Centre Store,Fitness Band Mini,Sports,0.0,38,38.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Sketch Pen Set,Stationery,21.0,59,38.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Cooking Oil 1L Classic,Groceries,0.0,38,38.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,HDMI Cable,Electronics,29.0,67,38.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Steel Cookware Set Plus,Kitchen,23.0,60,37.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Bed Frame Classic,Furniture,35.0,72,37.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Lipstick Classic,Beauty,36.0,73,37.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Knife Set Plus,Kitchen,55.0,91,36.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Rain Jacket Classic,Clothing,6.0,42,36.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Badminton Racket Plus,Sports,8.0,44,36.0,🟡 Medium — Reorder Now,Reorder immediately
Indore Downtown Store,Toy Drone Classic,Toys,21.0,57,36.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Wireless Keyboard,Electronics,11.0,47,36.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Pet Shampoo,Pet Supplies,26.0,61,35.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Face Wash Classic,Beauty,14.0,49,35.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Remote Control Car,Toys,31.0,66,35.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Pet Shampoo Mini,Pet Supplies,22.0,57,35.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Toy Drone Mini,Toys,0.0,34,34.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Hair Dryer Classic,Beauty,56.0,90,34.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Toy Drone Mini,Toys,0.0,34,34.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Dinner Set Classic,Kitchen,61.0,95,34.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Gym Gloves Classic,Sports,0.0,33,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Vadodara MG Road Store,Formal Shirt Classic,Clothing,20.0,53,33.0,🟡 Medium — Reorder Now,Reorder immediately
Patna MG Road Store,File Folder Pack Classic,Stationery,0.0,33,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Yoga Mat Classic,Sports,30.0,63,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Bookshelf Mini,Furniture,0.0,33,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Lipstick Mini,Beauty,66.0,99,33.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Photo Frame Set Classic,Home Decor,6.0,39,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Notebook Pack Plus,Stationery,0.0,33,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Gym Gloves Plus,Sports,0.0,33,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Cricket Bat Mini,Sports,46.0,79,33.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Wall Art Canvas Plus,Home Decor,29.0,62,33.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Electric Kettle Plus,Electronics,0.0,32,32.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Ethnic Saree,Clothing,48.0,80,32.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Pressure Cooker Classic,Kitchen,0.0,32,32.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Masala Mix 200g,Groceries,16.0,48,32.0,🟡 Medium — Reorder Now,Reorder immediately
Patna MG Road Store,Biscuits Pack,Groceries,54.0,86,32.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Pulses 1kg Plus,Groceries,43.0,75,32.0,🟢 Low — Standard Reorder,Reorder immediately
Ranchi Mall Outlet,Chopping Board Classic,Kitchen,57.0,89,32.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Sunscreen Lotion,Beauty,59.0,91,32.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Dog Food 3kg Plus,Pet Supplies,21.0,53,32.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Cold Drink 2L Classic,Groceries,49.0,81,32.0,🟢 Low — Standard Reorder,Reorder immediately
Chennai T Nagar Store,Dinner Set Classic,Kitchen,63.0,95,32.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Console Table,Furniture,17.0,48,31.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Hair Dryer Classic,Beauty,59.0,90,31.0,🟢 Low — Standard Reorder,Reorder immediately
Nashik Station Road Store,Sketch Pen Set Plus,Stationery,44.0,75,31.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Silk Saree Classic,Clothing,0.0,31,31.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Digital Camera Plus,Electronics,6.0,37,31.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Jaggery 500g,Groceries,40.0,71,31.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Memory Card 64GB,Electronics,19.0,50,31.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Action Figure Mini,Toys,20.0,50,30.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Bar Stool,Furniture,28.0,58,30.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Puzzle Set Classic,Toys,58.0,88,30.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Bird Cage Classic,Pet Supplies,0.0,30,30.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Face Wash Classic,Beauty,19.0,49,30.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Hair Oil Classic,Beauty,49.0,79,30.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Water Gun,Toys,51.0,81,30.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Wooden Chair Mini,Furniture,37.0,67,30.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Fitness Band,Sports,48.0,77,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Slime Kit Classic,Toys,48.0,77,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Wall Shelf Set,Furniture,34.0,63,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Decorative Vase Plus,Home Decor,14.0,43,29.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Hair Dryer Classic,Beauty,61.0,90,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Pet Bed Mini,Pet Supplies,3.0,32,29.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Action Figure,Toys,32.0,61,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Ketchup 500ml,Groceries,44.0,73,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Bar Stool,Furniture,29.0,58,29.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Tiffin Box,Kitchen,28.0,57,29.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Study Table,Furniture,41.0,69,28.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Lipstick Plus,Beauty,4.0,32,28.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Kurta Set,Clothing,14.0,42,28.0,🟡 Medium — Reorder Now,Reorder immediately
Raipur High Street Store,Denim Jeans Classic,Clothing,50.0,78,28.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Coffee Table Mini,Furniture,60.0,88,28.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Wardrobe Mini,Furniture,18.0,46,28.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Sunflower Oil 1L,Groceries,27.0,55,28.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Hyderabad Central Plaza,Silk Saree Plus,Clothing,29.0,57,28.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Winter Jacket Plus,Clothing,19.0,46,27.0,🟡 Medium — Reorder Now,Reorder immediately
Guwahati Mall Outlet,Non-Stick Pan,Kitchen,5.0,32,27.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ahmedabad Mall Outlet,Slime Kit,Toys,15.0,42,27.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Bird Cage Classic,Pet Supplies,3.0,30,27.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Hoodie,Clothing,45.0,72,27.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Perfume Classic,Beauty,66.0,93,27.0,🟢 Low — Standard Reorder,Reorder immediately
Pune Central Store,Art Kit Mini,Toys,64.0,91,27.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Football Plus,Sports,70.0,96,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Vadodara MG Road Store,Running Shoes Classic,Sports,42.0,68,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chandigarh High Street Store,Decorative Vase Classic,Home Decor,49.0,75,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kochi Ring Road Store,Hair Oil Mini,Beauty,48.0,74,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Badminton Racket Mini,Sports,29.0,55,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Bookshelf Mini,Furniture,7.0,33,26.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Photo Frame Set Plus,Home Decor,62.0,88,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bengaluru Koramangala Store,Talcum Powder Classic,Beauty,20.0,46,26.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Pulses 1kg Plus,Groceries,49.0,75,26.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Water Purifier Classic,Electronics,22.0,47,25.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Power Bank Plus,Electronics,42.0,67,25.0,🟢 Low — Standard Reorder,Reorder immediately
Patna MG Road Store,Mixer Grinder Plus,Kitchen,71.0,96,25.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Ottoman Stool,Furniture,29.0,54,25.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Delhi Connaught Place Store,Hair Oil Mini,Beauty,49.0,74,25.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Surat Ring Road Store,Sketch Pen Set,Stationery,34.0,59,25.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Nashik Station Road Store,Office Chair Mini,Furniture,59.0,84,25.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Coimbatore City Centre Store,Organic Honey 500g,Groceries,22.0,46,24.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Curtain Set Classic,Home Decor,73.0,97,24.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Kolkata MG Road Store,Remote Car Classic,Toys,14.0,38,24.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Bhopal Central Plaza,Hair Oil Classic,Beauty,55.0,79,24.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Bluetooth Speaker Classic,Electronics,12.0,36,24.0,🟡 Medium — Reorder Now,Reorder immediately
Jaipur High Street Store,TV Unit Deluxe,Furniture,50.0,74,24.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ludhiana Central Plaza,Cold Drink 2L Plus,Groceries,41.0,65,24.0,🟢 Low — Standard Reorder,Reorder immediately
Chandigarh High Street Store,Pressure Cooker Plus,Kitchen,26.0,50,24.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Lucknow City Centre Store,Talcum Powder Classic,Beauty,23.0,46,23.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Ranchi Mall Outlet,Console Table,Furniture,25.0,48,23.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Patna MG Road Store,Fitness Band Classic,Sports,24.0,47,23.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Visakhapatnam Downtown Store,Biscuit Pack Classic,Groceries,15.0,38,23.0,🟡 Medium — Reorder Now,Reorder immediately
Visakhapatnam Downtown Store,Badminton Racket Classic,Sports,35.0,58,23.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Vadodara MG Road Store,Pet Bed,Pet Supplies,18.0,41,23.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Pune Central Store,Shoe Rack,Furniture,57.0,79,22.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Dinner Set Plus,Kitchen,65.0,87,22.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Dumbbell Set Mini,Sports,70.0,92,22.0,🟢 Low — Standard Reorder,Reorder immediately
Nagpur Station Road Store,Memory Card 64GB,Electronics,28.0,50,22.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Chennai T Nagar Store,Instant Noodles Pack Classic,Groceries,8.0,30,22.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Mumbai Andheri Store,Notebook Pack Plus,Stationery,11.0,33,22.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Guwahati Mall Outlet,Denim Jeans Classic,Clothing,56.0,78,22.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Pet Grooming Kit,Pet Supplies,76.0,98,22.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
Raipur High Street Store,Steel Cookware Set Classic,Kitchen,21.0,43,22.0,🔴 Critical — Expedite + Emergency Stock,Reorder immediately + Expedite supplier follow-up
Indore Downtown Store,Card Game Set Mini,Toys,38.0,60,22.0,🟢 Low — Standard Reorder,Reorder immediately
Visakhapatnam Downtown Store,Rug Classic,Home Decor,76.0,98,22.0,🟢 Low — Standard Reorder,Reorder immediately
Nashik Station Road Store,Card Game Set,Toys,59.0,80,21.0,🟠 High — Expedite Supplier Follow-up,Reorder immediately + Expedite supplier follow-up
